"","firm","Size of Most Recent Fund ($MM) Grouping","Executive Investor","Executive Non-Investor","Non-Executive Investor","Non-Executive Non-Investor","Female","Male","White","Black","Asian/Indian","Latino/a","Other Non-White","White & Female","White & Male","Black & Female","Black & Male","Asian/Indian & Female","Asian/Indian & Male","Latina","Latino","Other Non-White & Female","Other Non-White & Male","VC Firm","Angel Group","Family Office","Other","Industry Focus - Tech","Industry Focus - Consumer","Industry Focus - General","Industry Focus - Other","Main Focus Midwest?","First Time Fund?"
"1","Firm 1","$5-$15",1,0,3,3,7,0,6,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,7,0,0,7,0,7,0,0,7
"2","Firm 10","$100+",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
"3","Firm 10","$5-$15",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
"4","Firm 10","N/A",2,0,1,0,1,2,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0
"5","Firm 11","$15.1-$99",2,0,2,0,0,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0
"6","Firm 11","$5-$15",1,1,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0
"7","Firm 11","N/A",2,0,2,1,1,4,3,2,0,0,0,0,3,1,1,0,0,0,0,0,0,5,0,0,0,5,5,0,0,0,5
"8","Firm 12","N/A",2,0,1,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0
"9","Firm 13","$5-$15",2,0,2,0,0,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,0,4
"10","Firm 13","N/A",0,0,4,4,4,4,6,0,0,1,1,3,3,0,0,0,0,1,0,0,1,0,0,8,0,0,0,8,0,0,0
"11","Firm 14","$15.1-$99",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"12","Firm 14","$5-$15",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
"13","Firm 15","$15.1-$99",9,1,9,2,4,17,21,0,0,0,0,4,17,0,0,0,0,0,0,0,0,21,0,0,0,21,0,0,0,8,0
"14","Firm 15","N/A",2,0,4,1,2,5,7,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,5,2,0,5,0,2,0,5,0
"15","Firm 16","$15.1-$99",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
