"","firm","employee","Executive Investor","Executive Non-Investor","Non-Executive Investor","Non-Executive Non-Investor","Female","Male","White","Black","Asian/Indian","Latino/a","Other Non-White","White & Female","White & Male","Black & Female","Black & Male","Asian/Indian & Female","Asian/Indian & Male","Latina","Latino","Other Non-White & Female","Other Non-White & Male","Size of Most Recent Fund ($MM)","Size of Most Recent Fund ($MM) Grouping","VC Firm","Angel Group","Family Office","Other","Industry Focus - Tech","Industry Focus - Consumer","Industry Focus - General","Industry Focus - Other","Main Focus Midwest?","First Time Fund?","type"
"1","Firm 1","Employee 1",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"15","$5-$15",0,1,0,0,1,0,1,0,0,1,"Angel Group"
"2","Firm 1","Employee 2",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"15","$5-$15",0,1,0,0,1,0,1,0,0,1,"Angel Group"
"3","Firm 1","Employee 3",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"15","$5-$15",0,1,0,0,1,0,1,0,0,1,"Angel Group"
"4","Firm 1","Employee 4",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"15","$5-$15",0,1,0,0,1,0,1,0,0,1,"Angel Group"
"5","Firm 1","Employee 5",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"15","$5-$15",0,1,0,0,1,0,1,0,0,1,"Angel Group"
"6","Firm 1","Employee 6",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"15","$5-$15",0,1,0,0,1,0,1,0,0,1,"Angel Group"
"7","Firm 1","Employee 7",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"15","$5-$15",0,1,0,0,1,0,1,0,0,1,"Angel Group"
"8","Firm 2","Employee 1",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"66.04","$15.1-$99",1,0,0,0,1,0,0,0,1,0,"VC Firm"
"9","Firm 2","Employee 2",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"66.04","$15.1-$99",1,0,0,0,1,0,0,0,1,0,"VC Firm"
"10","Firm 2","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"66.04","$15.1-$99",1,0,0,0,1,0,0,0,1,0,"VC Firm"
"11","Firm 2","Employee 4",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"66.04","$15.1-$99",1,0,0,0,1,0,0,0,1,0,"VC Firm"
"12","Firm 2","Employee 5",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"66.04","$15.1-$99",1,0,0,0,1,0,0,0,1,0,"VC Firm"
"13","Firm 3","Employee 1",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"66.04","$15.1-$99",1,0,0,0,1,0,0,0,1,0,"VC Firm"
"14","Firm 3","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"66.04","$15.1-$99",1,0,0,0,1,0,0,0,1,0,"VC Firm"
"15","Firm 3","Employee 3",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,0,1,0,0,0,0,"VC Firm"
"16","Firm 3","Employee 4",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,0,1,0,0,0,0,"VC Firm"
"17","Firm 3","Employee 5",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,0,1,0,0,0,0,"VC Firm"
"18","Firm 4","Employee 1",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,0,1,0,0,0,0,"VC Firm"
"19","Firm 4","Employee 2",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,0,1,0,0,0,0,"VC Firm"
"20","Firm 4","Employee 3",0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,0,1,0,0,0,0,"VC Firm"
"21","Firm 4","Employee 4",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,1,"VC Firm"
"22","Firm 4","Employee 5",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,1,"VC Firm"
